megaregion,mover_state,movedin,percent
Dallas-Fort Worth, Texas,90199,33.28
Dallas-Fort Worth, California,25111,9.26
Dallas-Fort Worth, New York,11824,4.36
Dallas-Fort Worth, Florida,10339,3.81
Dallas-Fort Worth, Oklahoma,9618,3.55
Dallas-Fort Worth, Illinois,7994,2.95
Dallas-Fort Worth, Louisiana,7004,2.58
Dallas-Fort Worth, Pennsylvania,6716,2.48
Dallas-Fort Worth, New Jersey,6544,2.41
Dallas-Fort Worth, Missouri,6283,2.32
Dallas-Fort Worth, Arizona,5950,2.2
Dallas-Fort Worth, Colorado,4726,1.74
Dallas-Fort Worth, Michigan,4526,1.67
Dallas-Fort Worth, Virginia,4226,1.56
Dallas-Fort Worth, Minnesota,4196,1.55
Dallas-Fort Worth, Georgia,4098,1.51
Dallas-Fort Worth, Arkansas,4062,1.5
Dallas-Fort Worth, Ohio,3977,1.47
Dallas-Fort Worth, Massachusetts,3872,1.43
Dallas-Fort Worth, North Carolina,3631,1.34
Dallas-Fort Worth, Tennessee,3602,1.33
Dallas-Fort Worth, Washington,3383,1.25
Dallas-Fort Worth, Indiana,3077,1.14
Dallas-Fort Worth, Kansas,2846,1.05
Dallas-Fort Worth, Puerto Rico,2735,1.01
Dallas-Fort Worth, Utah,2593,0.96
Dallas-Fort Worth, Mississippi,2565,0.95
Dallas-Fort Worth, Wisconsin,2486,0.92
Dallas-Fort Worth, Nevada,2110,0.78
Dallas-Fort Worth, South Carolina,2029,0.75
Dallas-Fort Worth, Alabama,2008,0.74
Dallas-Fort Worth, Maryland,1880,0.69
Dallas-Fort Worth, New Mexico,1758,0.65
Dallas-Fort Worth, Oregon,1601,0.59
Dallas-Fort Worth, Iowa,1597,0.59
Dallas-Fort Worth, Connecticut,1548,0.57
Dallas-Fort Worth, Kentucky,1515,0.56
Dallas-Fort Worth, New Hampshire,1220,0.45
Dallas-Fort Worth, Rhode Island,790,0.29
Dallas-Fort Worth, Nebraska,644,0.24
Dallas-Fort Worth, Alaska,635,0.23
Dallas-Fort Worth, Vermont,624,0.23
Dallas-Fort Worth, Idaho,520,0.19
Dallas-Fort Worth, Hawaii,515,0.19
Dallas-Fort Worth, Maine,380,0.14
Dallas-Fort Worth, South Dakota,307,0.11
Dallas-Fort Worth, District of Columbia,306,0.11
Dallas-Fort Worth, West Virginia,258,0.1
Dallas-Fort Worth, North Dakota,253,0.09
Dallas-Fort Worth, Wyoming,149,0.05
Dallas-Fort Worth, Delaware,139,0.05
Dallas-Fort Worth, Montana,95,0.04
